Product Handle,Product Title,Product Subtitle,Product Description,Product Weight,Product Length,Product Width,Product Height,CAD,USD,Product Image
led-light-therapy-facial-mask,LED Light Therapy Facial Mask,Red/blue light skincare,At‑home LED therapy to improve skin tone and appearance—spa results at home.,700,21,17,11,183,199,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_photo_of_a_round_led_makeup_mirror.png
percussion-massage-gun,Percussion Massage Gun,Deep tissue relief,Powerful quiet motor with multiple heads for post‑workout or desk tension relief.,1200,25,20,10,211,229,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_product_image_of_a_reusable_lint_roller.png
water-flosser-oral-irrigator,Water Flosser (Oral Irrigator),Cleaner teeth in seconds,Cordless jet flosser with multiple pressure modes and travel case.,400,7,7,28,109,119,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_product_shot_of_an_electric_toothbrush_set.png
hair-straightener-brush,Hair Straightener Brush,Fast morning styling,Ionic heated brush smooths hair quickly with less damage than flat irons.,520,28,6,5,119,129,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_shot_of_a_white_ultrasonic_humidifier_emitting.png
diy-gel-nail-kit-lamp,DIY Gel Nail Kit (Lamp),Salon nails at home,"UV lamp, gels, and tools for long‑lasting manicures without the salon visit.",1500,26,22,9,119,129,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/photo-realistic_studio_shot_of_a_compact_white_portable.png
weighted-blanket-15-20-lb,Weighted Blanket (15–20 lb),Calming deep pressure,Breathable weighted blanket for better sleep and stress relief.,8000,40,30,25,183,199,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/realistic_photo_of_a_smart_video_doorbell_mounted.png
standing-desk-converter,Standing Desk Converter,Sit‑stand upgrade,Desktop riser converts any desk to standing—improve posture and focus.,12000,80,40,15,257,279,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/sleek_aluminum_laptop_stand_folded_open_with_macbook.png
tech-friendly-laptop-backpack,Tech‑Friendly Laptop Backpack,Commuter ready,"Water‑resistant backpack with laptop sleeve, USB port, and anti‑theft pockets.",900,46,30,15,119,129,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/studio_photo_of_a_black_percussion_massage_gun.png
heated-vest-usb,Heated Vest (USB),Stay warm outdoors,Lightweight vest with carbon fiber heating elements—powered by USB power bank.,700,35,28,5,155,169,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/top-down_view_of_a_digital_smart_scale_with.png
essential-oil-diffuser-humidifier,Essential Oil Diffuser & Humidifier,"Calm, scented spaces",Ultrasonic aroma diffuser adds moisture with ambient lighting for relaxation.,700,17,17,20,82,89,https://pub-0e79c5d9c3514966abd6173d388518b2.r2.dev/product-demo-image/transparent_portable_blender_bottle_filled_with_fruit_smoothie.png
